order_id;checkout_id;brand_id;retailer_id;order_amount;has_discount;fees_percentage;payment_cost_percentage;shipping_cost_euro;net_margin;is_profitable
6574;2393;95;2053;352.8;100;0.05;0.05;15;-115;0
7372;2705;95;5536;406.56;100;0.05;0.05;15;-115;0
8026;2898;95;5630;305.5;100;0.05;0.05;15;-115;0
7834;2830;95;5687;361.44;100;0.05;0.05;15;-115;0
8028;2900;95;5745;368.88;100;0.05;0.05;15;-115;0
8090;2920;95;5766;383.76;100;0.05;0.05;15;-115;0
8167;2939;95;5803;369.24;100;0.05;0.05;15;-115;0
8191;2942;95;5809;370.26;100;0.05;0.05;15;-115;0
2663;1224;110;225;648;0;0.15;0.05;15;49.8;1
5990;2300;110;3113;216;100;0.05;0.05;15;-115;0
1891;899;131;370;248.16;0;0.15;0.05;15;9.816;1
5205;900;131;370;142.32;0;0.15;0.05;15;-0.768;0
1976;320;131;979;195.6;0;0.15;0.05;15;4.56;1
7616;1241;131;979;406.08;0;0.15;0.05;15;25.608;1
902;358;131;1007;191.76;0;0.15;0.05;15;4.176;1
1692;812;131;1775;142.8;0;0.15;0.05;15;-0.72;0
2886;820;131;1775;184.8;0;0.15;0.05;15;3.48;1
8945;2819;131;1775;246;0;0.15;0.05;15;9.6;1
8779;3052;131;3181;184.8;0;0.15;0.05;15;3.48;1
8064;2478;131;5063;188.4;0;0.15;0.05;15;3.84;1
6511;2345;131;5095;297.12;0;0.15;0.05;15;14.712;1
8721;2841;166;2735;192.38;0;0.15;0.05;15;4.238;1
5512;2080;166;4656;119.65;100;0.05;0.05;15;-115;0
3327;734;235;681;120.28;0;0.15;0.05;15;-2.972;0
6884;1090;235;1555;107.62;0;0.15;0.05;15;-4.238;0
6436;177;236;211;256.14;0;0.15;0.05;15;10.614;1
1187;464;245;514;126;0;0.15;0.05;15;-2.4;0
1215;618;245;553;145.8;0;0.15;0.05;15;-0.42;0
2238;721;245;1173;174.6;100;0.05;0.05;15;-115;0
1147;584;245;1517;145.8;0;0.15;0.05;15;-0.42;0
2405;1107;245;1613;126;0;0.15;0.05;15;-2.4;0
4727;1823;245;4183;207;0;0.15;0.05;15;5.7;1
11450;2147;245;4876;145.8;0;0.15;0.05;15;-0.42;0
11002;3786;245;5689;174.6;0;0.15;0.05;15;2.46;1
8446;3034;245;5917;207;0;0.15;0.05;15;5.7;1
10814;3730;245;6802;129.6;0;0.15;0.05;15;-2.04;0
11421;3924;245;6986;145.8;0;0.15;0.05;15;-0.42;0
10863;3524;321;6218;115.53;100;0.05;0.05;15;-115;0
1128;364;336;1110;139.71;100;0.05;0.05;15;-115;0
6671;2479;336;5267;108.57;0;0.15;0.05;15;-4.143;0
7549;2416;347;1259;177;0;0.15;0.05;15;2.7;1
2033;935;453;178;274.15;0;0.15;0.05;15;12.415;1
3020;936;453;178;226.95;0;0.15;0.05;15;7.695;1
5012;1887;453;1643;245.07;0;0.15;0.05;15;9.507;1
